"kernel","clonality","pollen_vector","self_failoutcross","seedmass","compartsize","self_proba","span_min","span_max","firstflower_min","firstflower_max","bankduration_max","bankduration_min","seednumber_min","seednumber_max","b0grow","b0germ","b0mort","floron","floroff","seedon","seedoff","temp_opt","temp_tol","abund","sp_id"
"long-medium-short",TRUE,"insects",TRUE,0.0001,10,0,1560,1560,62.9930354409555,93.2849428096428,385.780391125008,3.8755406702403,37,37,4531446956.9909,141363714.221475,1113239249.49412,23,35,34,38,281.239882352941,8.21666666666667,93,"p-15"
"short-long",TRUE,"wind",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,140.783096700959,7.11071201213118,1000,1000,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,279.867302798982,7.91666666666667,82,"p-16"
"long",FALSE,"insects",FALSE,0.001,50,0.95,52,104,18.772773321718,18.772773321718,220.1865528333,7.11071201213118,7.75,250,8058178821.30045,141363714.221475,1113239249.49412,23,44,43,47,287.832530120482,8.16666666666667,89,"p-17"
"long-short",TRUE,"wind",TRUE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.741047497428,7.11071201213118,0.75,0.75,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,282.402967032967,8.15,64,"p-18"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0.95,1560,1560,18.772773321718,18.772773321718,112.824005140838,7.11071201213118,5113.36430811131,17367.3980949484,5963719581.16838,141363714.221475,1113239249.49412,23,40,39,43,279.508044806517,7.86666666666666,67,"p-19"
"long-short",TRUE,"wind",FALSE,0.001,50,0,1560,1560,81.167382387491,105.328986768252,147.55184476831,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,279.844758909853,7.5,81,"p-20"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,280.545095948827,8.81666666666666,75,"p-21"
"medium-long",FALSE,"insects",TRUE,0.001,50,0,52,52,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,2.35,19,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,278.056262626263,7.16666666666667,26,"p-22"
"long-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.219105841303,7.11071201213118,212.5,2501.25,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,283.535829959514,9.31666666666666,27,"p-23"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,104,104,52,52,385.780391125008,3.8755406702403,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,279.931531531532,8.84999999999999,39,"p-24"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,55.25,55.25,8058178821.30045,141363714.221475,1113239249.49412,14,26,25,29,281.53981042654,8,56,"p-25"
"long-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.374733685424,7.11071201213118,67,2391.5,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,279.167777777778,8.28333333333333,25,"p-26"
"long-short",FALSE,"insects",TRUE,0.001,50,0,52,104,18.772773321718,18.772773321718,220.171779452514,7.11071201213118,23.75,250,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,285.290973630832,7.2,92,"p-27"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0.05,1560,1560,18.772773321718,105.595880214125,109.974990331902,7.11071201213118,5.25,18.75,5963719581.16838,141363714.221475,1113239249.49412,18,44,43,47,282.351812688822,5.73333333333334,45,"p-28"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.895043245052,7.11071201213118,4.75,4.75,8058178821.30045,141363714.221475,1113239249.49412,14,22,21,25,282.092710472279,7.08333333333333,77,"p-29"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,27,35,34,38,280.165690376569,8.06666666666666,98,"p-30"
"long-short",TRUE,"wind",TRUE,0.0003,20,0,1560,1560,18.772773321718,105.595880214125,109.925376613049,7.11071201213118,52,52,5963719581.16838,141363714.221475,1113239249.49412,18,26,25,29,280.043469387755,9.68333333333333,68,"p-31"
"short-long",TRUE,"insects",FALSE,0.001,50,0.05,1560,1560,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,4,4,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,281.825675675676,9.95,21,"p-32"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0.05,1560,1560,105.595880214125,105.595880214125,96.1194303694474,7.11071201213118,0.75,112.5,5963719581.16838,141363714.221475,1113239249.49412,18,31,30,34,281.147570850202,8.55,47,"p-33"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0.5,1560,1560,105.595880214125,105.595880214125,144.127993602702,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,284.177755102041,10.6833333333333,25,"p-34"
"long",FALSE,"insects",FALSE,0.0003,20,0.5,1560,1560,67.3667551930586,105.105784304513,92.3422682466731,7.11071201213118,5113.36430811131,17367.3980949484,5963719581.16838,141363714.221475,1113239249.49412,18,31,30,34,280.840909090909,8.7,70,"p-35"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,18.772773321718,169.978777534273,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,280.193601895735,8.36666666666667,81,"p-36"
"long-medium-short",FALSE,"insects",FALSE,0.0003,20,0.5,52,1560,18.772773321718,18.772773321718,118.436897949721,7.11071201213118,82.5,150000,5963719581.16838,141363714.221475,1113239249.49412,23,44,43,47,289.97404040404,10.1166666666667,31,"p-37"
"short-long",TRUE,"insects",TRUE,0.001,50,0,104,1560,18.772773321718,18.772773321718,172.665941446435,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,280.646825396825,7.68333333333333,48,"p-38"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,78.300864487,102.526838250176,146.767958166779,7.11071201213118,6.25,15,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,280.873273657289,7.26666666666667,46,"p-39"
"long-short",TRUE,"wind",FALSE,0.001,50,0,1560,1560,78.2423209727714,102.4735792082,146.736558371947,7.11071201213118,52.375,52.375,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,281.713430420712,6.96666666666667,88,"p-40"
"long-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,11.625,2675,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,280.641115702479,9.11666666666667,58,"p-41"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,385.780391125008,3.8755406702403,287.875,518.75,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,281.957162534435,7.93333333333333,69,"p-42"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,104,1560,18.772773321718,18.772773321718,149.45825105533,3.8755406702403,47.5,47.5,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,280.789665970772,8.95,75,"p-43"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,27,35,34,38,282.165384615385,6.01666666666667,44,"p-44"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0.5,52,104,18.772773321718,18.772773321718,220.224781856937,7.11071201213118,3.1,75,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,281.609146341463,9.16666666666667,61,"p-45"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,18.772773321718,18.772773321718,170.568340891277,7.11071201213118,5,53.825,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,282.528818737271,8.48333333333334,75,"p-46"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0.95,52,104,18.772773321718,18.772773321718,220.217579212192,7.11071201213118,3.025,112.5,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,280.375918367347,8.6,71,"p-47"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0.05,1560,1560,81.167382387491,105.328986768252,147.55184476831,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,9,17,16,20,282.345753715499,7.8,61,"p-48"
"long-medium-short",TRUE,"wind",TRUE,0.0003,20,0.05,1560,1560,18.772773321718,18.772773321718,124.171669218788,7.11071201213118,25,3250,5963719581.16838,141363714.221475,1113239249.49412,0,53,52,56,284.4375,9.45,33,"p-49"
"short-long",TRUE,"wind",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.346279415367,7.11071201213118,44.75,1827,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,279.92322515213,8.73333333333333,86,"p-50"
"long-medium-short",TRUE,"wind",FALSE,0.001,50,0.5,1560,1560,18.772773321718,105.595880214125,106.303418141748,7.11071201213118,44250,44250,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,282.670286885246,6.84999999999999,31,"p-51"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,52,1560,18.772773321718,18.772773321718,191.231705695012,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,283.761317254174,8.61666666666667,88,"p-52"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,9,44,43,47,287.246631578947,8.45,56,"p-53"
"long",TRUE,"wind",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,144.127993602702,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,44,43,47,281.731818181818,6.13333333333333,65,"p-54"
"long-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,89.1819332225413,118.634286320491,3.8755406702403,3.8755406702403,7.5,27.5,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,279.143621399177,8.41666666666667,39,"p-55"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,78.2938320022621,102.520854497569,146.762581531305,7.11071201213118,14.5,14.5,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,280.738121212121,7.56666666666666,79,"p-56"
"long-medium",FALSE,"insects",TRUE,0.001,50,0,52,104,18.772773321718,18.772773321718,149.45825105533,3.8755406702403,32,175,8058178821.30045,141363714.221475,1113239249.49412,18,40,39,43,281.223447537473,9.56666666666666,81,"p-57"
"long-medium-short",TRUE,"wind",TRUE,0.001,50,0,52,1560,18.772773321718,18.772773321718,192.73923377412,7.11071201213118,146.25,2500,8058178821.30045,141363714.221475,1113239249.49412,18,44,43,47,284.846926229508,8.53333333333333,47,"p-58"
"short",TRUE,"insects",FALSE,0.001,50,0.5,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,281.10612745098,8.7,76,"p-59"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,56.2330350368744,71.3163936186303,385.780391125008,3.8755406702403,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,280.934198645598,8.76666666666667,46,"p-60"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,104,1560,18.772773321718,18.772773321718,192.553079710486,7.11071201213118,6,77.75,8058178821.30045,141363714.221475,1113239249.49412,27,49,48,52,281.779210526316,6.8,84,"p-61"
"long-short",TRUE,"insects",FALSE,0.0001,10,0,104,1560,18.772773321718,18.772773321718,115.372483376316,7.11071201213118,6514.31443389408,21841.4837061996,4531446956.9909,141363714.221475,1113239249.49412,23,40,39,43,279.840573770492,7.59999999999999,51,"p-62"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,154.789620285695,7.11071201213118,86.25,4500,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,281.599075975359,8.90000000000001,95,"p-63"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0,1560,1560,18.772773321718,105.595880214125,109.590564362326,7.11071201213118,47.5,1800,5963719581.16838,141363714.221475,1113239249.49412,23,44,43,47,285.625102880658,9.56666666666667,67,"p-64"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0.95,52,104,18.772773321718,18.772773321718,220.058899932319,7.11071201213118,125,350,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,280.551229508197,7.98333333333334,96,"p-65"
"long-short",TRUE,"wind",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.626249700487,7.11071201213118,103.5,103.5,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,280.722064777328,8.76666666666666,38,"p-66"
"long-short",TRUE,"insects",FALSE,0.0001,10,0.5,1560,1560,105.595880214125,105.595880214125,81.5432818621753,7.11071201213118,187.5,187.5,4531446956.9909,141363714.221475,1113239249.49412,18,31,30,34,280.118181818182,8.33333333333333,44,"p-67"
"long-short",FALSE,"insects",FALSE,0.001,50,0.1,52,52,18.772773321718,18.772773321718,221.188755725136,7.11071201213118,4.85,46.75,8058178821.30045,141363714.221475,1113239249.49412,18,40,39,43,279.848174442191,10.2666666666667,29,"p-68"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0.95,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,48,48,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,280.82479338843,8.73333333333333,34,"p-69"
"short-long",TRUE,"insects",FALSE,0.001,50,0.05,1560,1560,81.167382387491,105.328986768252,147.55184476831,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,281.402212389381,6.76666666666667,24,"p-70"
"long",TRUE,"insects",FALSE,0.001,50,0.5,52,1560,26,26,385.780391125008,3.8755406702403,7.5,48.5,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,280.726288659794,8.26666666666667,86,"p-71"
"long-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.831812130983,7.11071201213118,60,67.75,8058178821.30045,141363714.221475,1113239249.49412,14,26,25,29,281.54539748954,8.5,22,"p-72"
"long-medium-short",TRUE,"wind",FALSE,0.001,50,0.025,1560,1560,78.0833677959602,102.327696714602,146.656255883498,7.11071201213118,169.25,169.25,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,280.030698151951,10.5,80,"p-73"
"short",FALSE,"insects",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,280.071266968326,6.73333333333334,34,"p-74"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,144.127993602702,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,23,49,48,52,280.444658119658,8.63333333333333,56,"p-75"
"long",TRUE,"wind",FALSE,0.001,50,0.05,52,52,18.772773321718,18.772773321718,221.070603279144,7.11071201213118,117.875,117.875,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,281.415783664459,10.6666666666667,94,"p-76"
"short",FALSE,"wind",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,279.109959758551,7.1,29,"p-77"
"short-long",TRUE,"wind-insects",FALSE,0.001,50,0.025,1560,1560,105.595880214125,105.595880214125,141.892394994719,7.11071201213118,3.15,26.025,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,280.074948875256,9.58333333333333,36,"p-78"
"short-long",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,28.25,109.825,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,280.526369863014,8.51666666666666,98,"p-79"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,144.127993602702,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,280.298267326733,6.31666666666666,27,"p-80"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0.05,1560,1560,18.772773321718,105.595880214125,155.03388670504,7.11071201213118,525,1151.25,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,282.333222958057,7.58333333333333,97,"p-81"
"short-long",TRUE,"insects",FALSE,0.001,50,0,104,1560,52,52,181.095046677436,7.11071201213118,55,2325,8058178821.30045,141363714.221475,1113239249.49412,18,40,39,43,282.069836400818,7.38333333333334,80,"p-82"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,156.145247167196,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,27,35,34,38,279.949147121535,9.3,100,"p-83"
"long-medium-short",FALSE,"insects",FALSE,0.0003,20,0.95,52,1560,18.772773321718,18.772773321718,145.592239137559,7.11071201213118,180,9500,5963719581.16838,141363714.221475,1113239249.49412,5,49,48,52,285.800204918033,8.93333333333334,53,"p-84"
"short-long",TRUE,"insects",TRUE,0.0003,20,0,52,1560,26,26,149.45825105533,3.8755406702403,5113.36430811131,17367.3980949484,5963719581.16838,141363714.221475,1113239249.49412,23,40,39,43,277.794,11.1666666666667,29,"p-85"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,144.127993602702,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,280.303658536585,9.18333333333333,69,"p-86"
"medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,54.2961643640274,69.486892786241,385.780391125008,3.8755406702403,4.5,4.5,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,280.160909090909,7.46666666666667,43,"p-87"
"long-short",TRUE,"insects",FALSE,0.0001,10,0,1560,1560,18.772773321718,18.772773321718,94.8524148073263,7.11071201213118,6514.31443389408,21841.4837061996,4531446956.9909,141363714.221475,1113239249.49412,23,44,43,47,279.399601593626,9.08333333333333,48,"p-88"
"short",TRUE,"insects",FALSE,0.001,50,1,1560,1560,105.595880214125,310.486898798496,61.7638576472075,7.11071201213118,10000,10000,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,283.722544080605,6.83333333333333,73,"p-89"
"medium-long",TRUE,"insects",TRUE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,3.8755406702403,3.8755406702403,54,350,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,282.179012345679,8.04999999999999,64,"p-90"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.196254470127,7.11071201213118,106.25,3125,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,280.774223602484,8.8,67,"p-91"
"long-short",TRUE,"insects",FALSE,0.0001,10,0,1560,2600,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,70,70,4531446956.9909,141363714.221475,1113239249.49412,18,26,25,29,278.285537190083,8.7,98,"p-92"
"long",TRUE,"wind",FALSE,0.001,50,0.95,52,104,18.772773321718,18.772773321718,218.104238400967,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,282.522413793103,8.01666666666667,93,"p-93"
"long-medium-short",TRUE,"wind",FALSE,0.001,50,0,52,1560,18.772773321718,18.772773321718,191.177516935918,7.11071201213118,262.5,10000,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,287.148353909465,10.5333333333333,66,"p-94"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0.5,1560,1560,105.595880214125,105.595880214125,95.7821829301496,7.11071201213118,322,322,5963719581.16838,141363714.221475,1113239249.49412,0,49,48,52,283.484575569358,7.41666666666667,49,"p-95"
"long-medium-short",TRUE,"insects",FALSE,0.0003,20,0.95,52,1560,18.772773321718,18.772773321718,147.589149842765,7.11071201213118,2.85,45.75,5963719581.16838,141363714.221475,1113239249.49412,23,31,30,34,280.300210084034,6.5,83,"p-96"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,52,1560,18.772773321718,18.772773321718,173.485192878509,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,280.773913043478,6.81666666666667,91,"p-97"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,52,1560,18.772773321718,18.772773321718,188.026383170539,7.11071201213118,525,25000,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,282.179925187032,5.78333333333333,43,"p-98"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.718569952776,7.11071201213118,9.5,75,8058178821.30045,141363714.221475,1113239249.49412,23,35,34,38,279.441886409736,8.58333333333333,32,"p-99"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.832477049153,7.11071201213118,60.75,60.75,8058178821.30045,141363714.221475,1113239249.49412,23,44,43,47,280.185820895522,6.46666666666666,97,"p-100"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0.05,1560,1560,81.167382387491,105.328986768252,147.55184476831,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,14,22,21,25,279.273620309051,8.35,56,"p-101"
"long-medium-short",FALSE,"insects",TRUE,0.001,50,0,104,104,18.772773321718,18.772773321718,217.371378809217,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,35,34,38,281.648284313725,6.33333333333333,45,"p-102"
"long-medium-short",TRUE,"insects",TRUE,0.001,50,0,1560,1560,18.772773321718,18.772773321718,169.307675239363,7.11071201213118,16.525,6500,8058178821.30045,141363714.221475,1113239249.49412,23,44,43,47,282.603362255965,8.51666666666667,39,"p-103"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,310.486898798496,310.486898798496,79.6248433366609,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,281.620464135021,6.53333333333333,35,"p-104"
"short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,281.023638344227,7.01666666666667,76,"p-105"
"short-long",TRUE,"insects",FALSE,0.001,50,0,1560,1560,310.486898798496,310.486898798496,83.1235716173457,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,278.863306451613,9.36666666666667,21,"p-106"
"short",FALSE,"insects",TRUE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,9,26,25,29,281.209090909091,7.18333333333333,70,"p-107"
"long-short",TRUE,"insects",TRUE,0.0003,20,0,1560,2600,18.772773321718,105.595880214125,79.7958085552225,7.11071201213118,5113.36430811131,17367.3980949484,5963719581.16838,141363714.221475,1113239249.49412,14,31,30,34,281.016666666667,9.91666666666666,24,"p-108"
